FID,SMILES,frequency
0,[5*]N,328638
1,[16*]c1ccccc1,143449
2,[1*]C=O,131523
3,[8*]C,95239
4,[3*]O,85500
5,[6*]C=O,80633
6,[4*]C,71506
7,[4*]CC,61316
8,[3*]OC,51540
9,[8*]CC,41913
10,[1*]C(C)=O,41033
11,[11*]S,29768
12,[5*]NC,29490
13,[5*][NH3+],27583
14,[4*]CC=O,21134
15,[5*]N1CCNCC1,16885
16,[1*]C(=O)CC,15992
17,[5*]N1CCCCC1,15952
18,[15*]C1CC1,14668
19,[8*]CC=O,14369
20,[4*]CCC,13010
21,[15*]C1CCCCC1,9463
22,[16*]c1ccc(F)cc1,9315
23,[15*]C1CCCC1,9204
24,[4*]C(C)C,9114
25,[16*]c1ccc(C)cc1,9003
26,[14*]c1ccccn1,8865
27,[5*][NH2+]C,8586
28,[5*]N1CCCC1,8236
29,[1*]C(=O)C=O,8182
30,[8*]CCC,7969
31,[14*]c1ccco1,7669
32,[16*]c1ccc(Cl)cc1,7564
33,[15*]C1CCNCC1,7183
34,[14*]c1cccs1,7183
35,[5*]N1CCOCC1,7171
36,[16*]c1ccccc1C,7010
37,[16*]c1cccnc1,6883
38,[16*]c1ccccc1F,6801
39,[8*]C(C)C,6679
40,[14*]c1nccs1,6357
41,[5*][NH+]1CCCCC1,6356
42,[16*]c1cccc(C)c1,6212
43,[8*]C(F)(F)F,6198
44,[16*]c1cccc(F)c1,5563
45,[9*]n1cccn1,5502
46,[16*]c1ccccc1Cl,5420
47,[16*]c1cccc(Cl)c1,5377
48,[6*]C(=O)[O-],5248
49,[5*]N(C)C,4774
50,[8*]CCC=O,4605
51,[14*]c1cscn1,4223
52,[16*]c1ccncc1,4118
53,[14*]c1ncon1,4114
54,[14*]c1ncno1,4036
55,[10*]N1CCCC1=O,4018
56,[12*]S(=O)(=O)c1ccccc1,3846
57,[8*]CO,3766
58,[4*]CC(C)C,3758
59,[4*][C@@H](C)C=O,3681
60,[15*]C1CC[NH2+]CC1,3663
61,[6*]C(C)=O,3657
62,[5*][NH+](C)C,3618
63,[4*][C@H](C)C=O,3607
64,[5*][NH+]1CCCC1,3555
65,[6*]C(N)=O,3522
66,[14*]c1nnco1,3418
67,[11*]SC,3407
68,[4*]C(C)(C)C,3402
69,[7*]=CC=O,3205
70,[8*]C(C)(C)C,3194
71,[16*]c1cn[nH]c1,3072
72,[14*]c1nncs1,3071
73,[4*]CCO,3009
74,[15*][C@@H]1CCCNC1,3000
75,[1*]C(=O)CCC,2981
76,[15*][C@H]1CCCNC1,2826
77,[14*]c1cc[nH]n1,2823
78,[5*]N1CC[NH2+]CC1,2803
79,[4*]CCC=O,2676
80,[13*][C@@H]1CCCO1,2567
81,[5*][NH+]1CCNCC1,2537
82,[14*]c1nnc[nH]1,2501
83,[8*]CC(C)C,2429
84,[7*]=Cc1ccccc1,2389
85,[16*]c1cnn(C)c1,2350
86,[4*]CCCC,2298
87,[16*]c1ccsc1,2288
88,[12*]S(C)(=O)=O,2237
89,[13*][C@H]1CCCO1,2233
90,[14*]c1ccn[nH]1,2220
