SMILES,Idx,FID
[7*]=C1C(=N)N2N=C(CCCCCC)SC2=NC1=O,0,27558
[7*]=Cc1cc(C)n([9*])c1C,0,593
[7*]=Cc1cc(C)n([9*])c1C,7,596
[16*]c1ccc(C)cc1C,0,168
[3*]OC,0,8
[1*]C(=O)[C@H](C)CC[4*],0,434
[1*]C(=O)[C@H](C)CC[4*],7,1034
[5*]N([5*])C,0,12
[5*]N([5*])C,2,12
[4*]C[8*],0,6
[4*]C[8*],2,3
[16*]c1ccc(O)cc1,0,140
[8*]CC=C,0,209
[9*]n1c([14*])nnc1[14*],0,110
[9*]n1c([14*])nnc1[14*],3,82
[9*]n1c([14*])nnc1[14*],7,82
[11*]S[11*],0,11
[11*]S[11*],2,11
[4*][C@H]([8*])C,0,7
[4*][C@H]([8*])C,2,9
[14*]c1nc2sc(C)c(C)c2c(=O)[nH]1,0,827
[15*]C1CC1,0,18
[5*][NH+]([5*])C,0,27
[5*][NH+]([5*])C,2,27
[4*]CC=[7*],0,7
[4*]CC=[7*],3,160
[7*]=Cc1ccco1,0,247
[4*]CCC(F)(F)F,0,388
[16*]c1ccc([16*])cc1,0,1
[16*]c1ccc([16*])cc1,5,1
[10*]N1C(=O)C(=O)N([10*])C1=O,0,597
[10*]N1C(=O)C(=O)N([10*])C1=O,7,597
[8*]CN1CCC([15*])CC1,0,1524
[8*]CN1CCC([15*])CC1,6,1586
[14*]c1nc2ccccc2s1,0,116
[16*]c1ccc(C)cc1,0,25
[4*][C@@H]([8*])C,0,7
[4*][C@@H]([8*])C,2,9
[5*][NH2+][5*],0,13
[5*][NH2+][5*],2,13
[1*]C(=O)[C@H]([4*])C,0,16
[1*]C(=O)[C@H]([4*])C,4,63
[5*]N[5*],0,0
[5*]N[5*],2,0
[16*]c1ccccc1F,0,38
[14*]c1cc(=O)[nH]c([14*])n1,0,420
[14*]c1cc(=O)[nH]c([14*])n1,7,470
[16*]c1cccc(Cl)c1,0,47
[5*]N1CCCC1,0,28
[1*]C(=O)C[8*],0,10
[1*]C(=O)C[8*],4,19
[9*]n1nc([14*])c2ccccc2c1=O,0,479
[9*]n1nc([14*])c2ccccc2c1=O,4,444
[6*]C(=O)[O-],0,48
[16*]c1ccc2c(c1)C(=O)c1ccccc1C2=O,0,4364
[1*]C([6*])=O,0,2
[1*]C([6*])=O,2,5
[12*]S(=O)(=O)c1cccc([16*])c1,0,56
[12*]S(=O)(=O)c1cccc([16*])c1,9,130
[5*]N1CCCCC1,0,17
[16*]c1cc(F)c(F)cc1Cl,0,1480
[8*]CC(C)C,0,83
[14*]c1nnc([14*])s1,0,72
[14*]c1nnc([14*])s1,5,72
[1*]C(=O)C([1*])=O,0,29
[1*]C(=O)C([1*])=O,4,29
[4*]CC[8*],0,7
[4*]CC[8*],3,9
[15*]C1CCCCC1,0,21
[1*]C(=O)[C@H]([8*])O,0,589
[1*]C(=O)[C@H]([8*])O,4,1209
[16*]c1ccccc1,0,1
[14*]c1nnc2ccccn12,0,334
[12*]S(=O)(=O)c1ccc(Cl)cc1F,0,4056
[16*]c1cc(F)ccc1F,0,212
[11*]SC,0,67
[14*]c1cc([16*])ccn1,0,26
[14*]c1cc([16*])ccn1,4,52
[5*]N1c2ccccc2NC(=O)C[C@@H]1C,0,2236
[8*]CCC,0,30
[10*]N1C(=O)c2[nH]nc([14*])c2[C@H]1c1ccc(C)cc1,0,12343
[10*]N1C(=O)c2[nH]nc([14*])c2[C@H]1c1ccc(C)cc1,8,11958
[16*]c1cc(Cl)ccc1O,0,878
[15*][C@@H]1CCC[C@@H]([S@](=O)CC)C1,0,3430
[1*]C([1*])=O,0,2
[1*]C([1*])=O,2,2
[5*]N([5*])[5*],0,0
[5*]N([5*])[5*],2,0
[5*]N([5*])[5*],3,0
[14*]c1cccs1,0,34
[14*]c1ccco1,0,31
[5*][NH+]([5*])[5*],0,13
[5*][NH+]([5*])[5*],2,13
[5*][NH+]([5*])[5*],3,13
[14*]c1cnc([14*])o1,0,208
[14*]c1cnc([14*])o1,5,186
[8*]C[8*],0,3
[8*]C[8*],2,3
[14*]c1nnc([14*])o1,0,66
[14*]c1nnc([14*])o1,5,66
[1*]C(=O)C[4*],0,10
[1*]C(=O)C[4*],4,14
[5*]N1CCC[C@@H](C)C1,0,347
[1*]C(=O)C=[7*],0,10
[1*]C(=O)C=[7*],4,69
[7*]=Cc1ccc2c(c1)OCO2,0,756
[13*][C@@H]1C[NH+]2CCN1CC2,0,1027
[7*]=Cc1ccccc1[16*],0,84
[7*]=Cc1ccccc1[16*],8,36
[7*]=CC=[7*],0,160
[7*]=CC=[7*],3,160
[1*]C(=O)C(=[7*])C#N,0,224
[1*]C(=O)C(=[7*])C#N,4,216
[5*]N(C)C,0,49
[16*]c1cccc(C)c1C,0,190
[5*]NC(=S)N1CC[NH+](C)CC1,0,18695
[5*]NC,0,12
[16*]c1ccc(F)c([16*])c1,0,22
[16*]c1ccc(F)c([16*])c1,7,38
[5*]N1C[C@H]2CCC[NH+]2C[C@H]1C,0,1519
[4*]C([4*])[C@@H]([8*])[NH3+],0,302
[4*]C([4*])[C@@H]([8*])[NH3+],2,302
[4*]C([4*])[C@@H]([8*])[NH3+],4,468
[4*][C@H]([8*])C[NH3+],0,302
[4*][C@H]([8*])C[NH3+],2,246
[14*]c1cc(Cl)cs1,0,1158
[5*]N1CC[C@@H]2CCCC[C@@H]2C1,0,5339
[4*]CC(C)C,0,58
[4*]CC([4*])(C)C,0,58
[4*]CC([4*])(C)C,3,68
[5*]N1CCOCC1,0,35
[16*]c1cc([16*])c([16*])c([16*])c1,0,1
[16*]c1cc([16*])c([16*])c([16*])c1,4,1
[16*]c1cc([16*])c([16*])c([16*])c1,6,1
[16*]c1cc([16*])c([16*])c([16*])c1,8,1
[15*][C@H]1C[C@@H]1[15*],0,18
[15*][C@H]1C[C@@H]1[15*],4,18
[4*]CC[4*],0,7
[4*]CC[4*],3,7
[14*]c1cccc([14*])n1,0,26
[14*]c1cccc([14*])n1,6,26
[5*]N1CC[NH2+][C@H]([13*])C1,0,78
[5*]N1CC[NH2+][C@H]([13*])C1,6,1087
[14*]c1cc([14*])nc([14*])n1,0,101
[14*]c1cc([14*])nc([14*])n1,4,101
[14*]c1cc([14*])nc([14*])n1,7,94
[3*]O[3*],0,4
[3*]O[3*],2,4
[4*]CC(=O)[O-],0,182
[16*]c1ccc2c(c1)OCO2,0,96
[16*]c1cccc([16*])c1,0,1
[16*]c1cccc([16*])c1,6,1
[5*][NH+]1CCC([15*])CC1,0,41
[5*][NH+]1CCC([15*])CC1,5,60
