FID,SMILES,frequency
0,[5*]N,328638
1,[1*]C=O,131523
2,[8*]C,95239
3,[6*]C=O,80633
4,[4*]C,71506
5,[8*]CC,41913
6,[5*]NC,29490
7,[5*][NH3+],27583
8,[4*]CC=O,21134
9,[5*]N1CCCCC1,15952
10,[15*]C1CC1,14668
11,[8*]CC=O,14369
12,[15*]C1CCCCC1,9463
13,[16*]c1ccc(F)cc1,9315
14,[15*]C1CCCC1,9204
15,[16*]c1ccc(C)cc1,9003
16,[14*]c1ccccn1,8865
17,[5*]N1CCCC1,8236
18,[8*]CCC,7969
19,[14*]c1ccco1,7669
20,[16*]c1ccc(Cl)cc1,7564
21,[14*]c1cccs1,7183
22,[5*]N1CCOCC1,7171
23,[16*]c1ccccc1C,7010
24,[16*]c1cccnc1,6883
25,[5*][NH+]1CCCCC1,6356
26,[16*]c1cccc(C)c1,6212
27,[16*]c1cccc(F)c1,5563
28,[9*]n1cccn1,5502
29,[16*]c1ccccc1Cl,5420
30,[5*]N(C)C,4774
31,[14*]c1ncno1,4036
32,[10*]N1CCCC1=O,4018
33,[12*]S(=O)(=O)c1ccccc1,3846
34,[8*]CO,3766
35,[4*]CC(C)C,3758
36,[4*][C@@H](C)C=O,3681
37,[15*]C1CC[NH2+]CC1,3663
38,[5*][NH+](C)C,3618
39,[4*][C@H](C)C=O,3607
40,[6*]C(N)=O,3522
41,[11*]SC,3407
42,[7*]=CC=O,3205
43,[8*]C(C)(C)C,3194
44,[16*]c1cn[nH]c1,3072
45,[14*]c1nncs1,3071
46,[14*]c1cc[nH]n1,2823
47,[5*]N1CC[NH2+]CC1,2803
48,[4*]CCC=O,2676
49,[13*][C@@H]1CCCO1,2567
50,[14*]c1nnc[nH]1,2501
51,[4*]CCCC,2298
52,[12*]S(C)(=O)=O,2237
53,[14*]c1ccn[nH]1,2220
54,[5*][NH-],2088
55,[14*]c1ncccn1,2019
56,[16*]c1cccc([N+](=O)[O-])c1,1986
57,[16*]c1ccc2c(c1)OCO2,1949
58,[5*]NC(N)=S,1760
59,[14*]c1ccncn1,1759
60,[16*]c1ccc([N+](=O)[O-])cc1,1746
61,[14*]c1cnccn1,1704
62,[16*]c1ccccc1O,1701
63,[15*]C1CCOCC1,1697
64,[13*][C@@H]1CCCN1,1687
65,[14*]c1nc2ccccc2[nH]1,1653
66,[9*]n1cnnc1,1650
67,[9*]n1cnnn1,1604
68,[14*]c1nncn1C,1548
69,[14*]c1nc2ccccc2s1,1496
70,[14*]c1cncs1,1489
71,[4*]CC(C)O,1450
72,[9*]n1cncn1,1436
73,[14*]c1ccno1,1424
74,[4*]CC=C,1389
75,[8*]CCCC,1345
76,[15*][C@@H]1CCNC1,1336
77,[16*]c1cccc([SH](=O)=O)c1,1277
78,[16*]c1ccccc1Br,1264
79,[16*]c1ccc(F)c(F)c1,1254
80,[15*][C@H]1CCNC1,1249
81,[14*]c1ccc(C)o1,1245
82,[4*][C@@H](C)CC,1242
83,[16*]c1ccc2c(c1)OCCO2,1231
84,[8*][C@H](C)O,1226
85,[16*]c1ccc(C)c(C)c1,1222
86,[16*]c1ccc(O)cc1,1216
87,[16*]c1ccc(C#N)cc1,1212
88,[3*]OC(F)F,1187
89,[15*][C@H]1CNC(=O)C1,1177
90,[9*]n1cnc2ccccc21,1172
91,[15*][C@@H]1CNC(=O)C1,1152
92,[14*]c1cc(C)on1,1150
93,[14*]c1nnn[nH]1,1125
94,[14*]c1cccnn1,1119
95,[6*]C(=O)NNC=O,1063
96,[16*]c1cc(C)cc(C)c1,1054
97,[16*]c1c[nH]c2ccccc12,1053
98,[5*]N1CCCCCC1,1041
99,[16*]c1c(F)cccc1F,1024
100,[7*]=CC,1023
101,[16*]c1ccc2ccccc2c1,1021
102,[16*]c1c(C)noc1C,1012
103,[16*]c1ccc(Cl)cc1Cl,1009
104,[9*]n1cccc1,996
105,[9*]n1ccnn1,991
106,[16*]c1cccc(C#N)c1,982
107,[15*][C@@H]1CCC[NH2+]C1,966
108,[14*]c1ccnn1C,964
109,[4*]CCC(C)C,924
110,[5*]N1CCCNCC1,894
111,[15*]C1CCCCCC1,877
112,[14*]c1ncc[nH]1,845
113,[4*]CC(=O)[O-],845
114,[4*]C1CCCC1,839
115,[13*][C@H]1CNCCO1,837
116,[14*]c1ncco1,837
117,[4*]CC#C,830
118,[16*]c1cccc(C)c1C,808
119,[14*]c1ccc(C)s1,802
120,[8*]CCCC=O,795
121,[16*]c1ccc(C)c(F)c1,793
122,[16*]c1ccc(Cl)c(Cl)c1,788
123,[15*][C@H]1CCS(=O)(=O)C1,759
124,[1*]C(N)=O,751
125,[14*]c1ccc[nH]1,732
126,[13*][C@H]1CCC[NH2+]1,718
127,[8*]CC(=O)[O-],704
128,[16*]c1ccoc1,692
129,[13*][C@@H]1CCCCN1,676
130,[14*]c1cnco1,670
131,[8*]CC=C,668
132,[16*]c1cc(F)ccc1F,662
133,[15*][C@@H]1CCOC1,659
134,[8*][C@H](C)C=O,653
135,[1*]C(=O)CCC=O,650
136,[7*]=C(C#N)C=O,645
137,[16*]c1cncnc1,635
138,[14*]c1ncncc1N,632
139,[14*]c1[nH]cc[nH+]1,632
140,[14*]c1csc(C)n1,624
141,[1*]C(=O)CC#N,621
142,[9*]n1nccc1C,619
143,[12*]S(=O)(=O)c1ccc(C)cc1,612
144,[4*]CCCC=O,608
145,[15*][C@H]1CCOC1,607
146,[7*]=C1SC(=S)NC1=O,605
147,[14*]c1ccc(Cl)s1,604
148,[10*]N1C(=O)CSC1=S,600
149,[10*]N1C(=O)c2ccccc2C1=O,599
150,[8*]CC#N,583
151,[15*][C@@H]1CC[NH2+]C1,580
152,[9*]n1c(C)ccc1C,575
153,[5*]N1CCC[NH2+]CC1,569
154,[14*]c1nc(C)no1,556
155,[16*]c1cn[nH]c1C,554
156,[14*]c1nc2ccccc2o1,554
157,[7*]=Cc1ccco1,535
158,[4*]CCC#N,534
159,[5*][NH+]1CCCNCC1,534
160,[16*]c1cc(C)[nH]c1C,532
161,[4*]C[C@H](C)O,531
162,[14*]c1ccc(=O)[nH]n1,526
163,[15*][C@H]1CC[NH2+]C1,523
164,[9*]n1ncccc1=O,517
165,[14*]c1nc2ccccc2c(=O)[nH]1,511
166,[16*]c1c(C)cc(C)cc1C,495
167,[16*]c1c(C)nn(C)c1C,494
168,[12*]S(=O)(=O)CC,494
169,[15*]C12CC3CC(CC(C3)C1)C2,484
170,[15*]C1CC[NH+](C)CC1,471
171,[5*]N1CCNC(=O)C1,461
172,[14*]c1cc(C)n[nH]1,455
173,[16*]c1c(F)cccc1Cl,452
174,[4*]CCCO,451
175,[5*]NC(N)=[NH+]C,446
176,[9*]n1cnc2ccccc2c1=O,442
177,[9*]n1ccc2ccccc21,441
178,[16*]c1cc[nH]c1,436
179,[16*]c1ccc(C)c(Cl)c1,431
180,[13*][C@@H]1CCCC[NH2+]1,427
181,[14*]c1noc(C)n1,422
182,[5*][NH+]1CCC(C)CC1,416
183,[13*]C1NC(=O)NC1=O,406
184,[7*]=C(C)C,404
185,[5*][NH+]1CCCCCC1,400
186,[4*]CC[NH3+],390
187,[6*]C(=O)CC,389
188,[16*]c1cc(Cl)ccc1Cl,387
189,[16*]c1ccoc1C,387
190,[4*][C@@H](C=O)C(C)C,387
191,[15*]C1CCC(C)CC1,384
192,[16*]c1cc(C)oc1C,383
193,[10*]N1CCNC1=O,383
194,[5*]N1C[C@H](C)O[C@H](C)C1,380
195,[16*]c1c(Cl)cccc1Cl,380
196,[8*]CCl,377
197,[14*]c1nc(C)c(C)s1,375
198,[14*]c1ncnn1C,372
199,[4*][C@@H](C)C(C)C,370
200,[16*]c1cccc(F)c1F,369
201,[16*]c1ccccc1[SH](=O)=O,367
202,[1*]C(=O)NNC=O,367
203,[14*]c1cc2ccccc2[nH]1,367
204,[12*]S(=O)(=O)c1ccc(Cl)cc1,364
205,[16*]c1ccc(S(N)(=O)=O)cc1,363
206,[14*]c1nc2ccccc2n1C,361
207,[16*]c1cc(Cl)cc(Cl)c1,361
208,[16*]c1ccc(F)c(Cl)c1,359
209,[16*]c1ccc(S(C)(=O)=O)cc1,359
210,[8*]C(F)F,355
211,[8*][C@@H](C)CC,354
212,[16*]c1cn(C)nc1C,353
213,[14*]c1nnc2ccccn12,352
214,[12*]S(=O)(=O)c1ccc(F)cc1,351
215,[4*][C@H](C=O)C(C)C,346
216,[15*][C@H]1CC=CCC1,339
217,[4*]CC(C)(C)C,339
218,[5*]N1CCSC1,336
219,[14*]c1ncoc1C,335
220,[5*]N1CCC[C@@H](C)C1,331
221,[4*][C@H](C)C(C)C,330
222,[14*]c1ccnc(C)n1,330
223,[13*][C@@H]1CCCCO1,330
224,[10*]N1C(=O)CSC1=O,329
225,[8*]CCCO,329
226,[15*][C@@H]1CCNC1=O,329
227,[14*]c1ncc(C)o1,326
228,[5*]N1C[C@@H](C)O[C@H](C)C1,319
229,[16*]c1ccc(N)cc1,317
230,[14*]c1cc(C)nn1C,316
231,[5*]N1CCSCC1,315
232,[9*]n1ncnn1,312
233,[5*]N1CCCC[C@@H]1C,307
234,[8*]CCC(=O)[O-],307
235,[8*]CC(F)(F)F,306
236,[8*]CS(C)(=O)=O,306
237,[5*]N1CCN(C)CC1,302
238,[15*][C@@H]1C[C@@H]1C,302
239,[16*]c1ccc(F)c(C)c1,301
240,[4*]CC(=O)NNC=O,300
241,[14*]c1ncccc1Cl,299
242,[16*]c1ccc(C)nc1,299
243,[13*][C@@H]1COCCN1,297
244,[13*][C@@]1(C)NC(=O)NC1=O,296
245,[16*]c1cnn(C)c1C,294
246,[15*][C@@H]1C=CCC1,292
247,[10*]N1C(=O)N[C@@H](C)C1=O,292
248,[13*][C@]1(C)NC(=O)NC1=O,287
249,[16*]c1ccccc1N,286
250,[14*]c1cnc2ccccc2n1,285
251,[16*]c1cscc1C,285
252,[5*]N1CCO[C@H](C)C1,281
253,[16*]c1c[nH]nc1C,280
254,[5*]N1CCCC[C@H]1C,279
255,[10*]N1C(=O)N[C@H](C)C1=O,279
256,[13*][C@@H]1COc2ccccc2O1,271
257,[16*]c1cccc(Cl)c1C,271
258,[16*]c1ccc(F)cc1C,271
259,[15*][C@H]1CCNC1=O,270
260,[16*]c1ccc2c(c1)OCCCO2,270
261,[16*]c1ccc(Cl)c(F)c1,268
262,[16*]c1ccc(Cl)nc1,266
263,[16*]c1cc(Cl)ccc1C,261
264,[15*][C@H]1C[C@@H]1C,260
