FID,SMILES
0,[16*]c1ccccc1
1,[3*]O
2,[4*]CC
3,[3*]OC
4,[1*]C(C)=O
5,[11*]S
6,[5*]N1CCNCC1
7,[1*]C(=O)CC
8,[4*]CCC
9,[4*]C(C)C
10,[5*][NH2+]C
11,[1*]C(=O)C=O
12,[15*]C1CCNCC1
13,[16*]c1ccccc1F
14,[8*]C(C)C
15,[14*]c1nccs1
16,[8*]C(F)(F)F
17,[16*]c1cccc(Cl)c1
18,[6*]C(=O)[O-]
19,[8*]CCC=O
20,[14*]c1cscn1
21,[16*]c1ccncc1
22,[14*]c1ncon1
23,[6*]C(C)=O
24,[5*][NH+]1CCCC1
25,[14*]c1nnco1
26,[4*]C(C)(C)C
27,[4*]CCO
28,[15*][C@@H]1CCCNC1
29,[1*]C(=O)CCC
30,[15*][C@H]1CCCNC1
31,[5*][NH+]1CCNCC1
32,[8*]CC(C)C
33,[7*]=Cc1ccccc1
34,[16*]c1cnn(C)c1
35,[16*]c1ccsc1
36,[13*][C@H]1CCCO1
37,[16*]c1ccc([SH](=O)=O)cc1
38,[16*]c1ccc(Br)cc1
39,[14*]c1ccn(C)n1
40,[8*]C[NH3+]
41,[15*]C1CCC1
42,[14*]c1nc(C)cs1
43,[16*]c1cccc(Br)c1
44,[13*][C@H]1CCCN1
45,[1*]C(=O)C(C)C
46,[14*]c1ccon1
47,[9*]n1nc(C)cc1C
48,[9*]n1ccnc1
49,[8*]CCO
50,[16*]c1ccc(F)cc1F
51,[16*]c1ccccc1[N+](=O)[O-]
52,[4*]CC(F)(F)F
53,[4*][C@H](C)CC
54,[1*]C(=O)CC(C)C
55,[14*]c1nc[nH]n1
56,[16*]c1c(C)n[nH]c1C
57,[16*]c1cccc2ccccc12
58,[14*]c1cccc[nH+]1
59,[8*][C@@H](C)O
60,[14*]c1ncn[nH]1
61,[16*]c1ccc(C)cc1C
62,[16*]c1cc(C)ccc1C
63,[14*]c1scnc1C
64,[15*][C@H]1CCC[NH2+]C1
65,[5*]N1CC[NH+](C)CC1
66,[9*]n1cc[nH+]c1
67,[15*][C@@H]1CCS(=O)(=O)C1
