FID,SMILES,TPSA
0,[11*]S,0.0
1,[13*][C@@H]1CSCCS1,0.0
2,[13*][C@H]1Cc2ccccc2S1,0.0
3,[13*][C@]1(C)CCCS1,0.0
4,[14*]c1cc(C)c(Br)s1,0.0
5,[14*]c1cc(Cl)cs1,0.0
6,[14*]c1cc2c(s1)CCCC2,0.0
7,[14*]c1cc2c(s1)CCCCC2,0.0
8,[14*]c1cc2c(s1)C[C@@H](C)CC2,0.0
9,[14*]c1cc2c(s1)SCC2,0.0
10,[14*]c1sc2ccccc2c1C,0.0
11,[14*]c1sc2ccccc2c1Cl,0.0
12,[14*]c1sccc1Br,0.0
13,[14*]c1sccc1C,0.0
14,[15*]C12CC3C[C@H](C1)C[C@@H](C3)C2,0.0
15,[15*]C1CCC1,0.0
16,[15*]C1CCC[C@@H]1C,0.0
17,[15*]C1C[C@H]2CC[C@@H]1C2,0.0
18,[15*]C1Cc2ccccc2C1,0.0
19,[15*]C1[C@@H](C)CCC[C@@H]1C,0.0
20,[15*][C@@H]1CC1(C)C,0.0
21,[15*][C@@H]1CC=CCC1,0.0
22,[15*][C@@H]1CCC(C)(C)C1,0.0
23,[15*][C@@H]1CCC(C)(C)C[C@@H]1C,0.0
24,[15*][C@@H]1CCC1(C)C,0.0
25,[15*][C@@H]1CCC12CCC2,0.0
26,[15*][C@@H]1CCCC(C)(C)C1,0.0
27,[15*][C@@H]1CCCC(C)C1,0.0
28,[15*][C@@H]1CCCS[C@@H]1C,0.0
29,[15*][C@@H]1CCC[C@@H](C)[C@@H]1C,0.0
30,[15*][C@@H]1CCC[C@H](C)C1,0.0
31,[15*][C@@H]1CCC[C@H](C)[C@H]1C,0.0
32,[15*][C@@H]1CC[C@@H](C)C1,0.0
33,[15*][C@@H]1CC[C@@H](C)[C@@H](C)C1,0.0
34,[15*][C@@H]1CC[C@H](C)[C@@H](C)C1,0.0
35,[15*][C@@H]1CC[C@H](C)[C@H](C)C1,0.0
36,[15*][C@@H]1CC[C@H]1C,0.0
37,[15*][C@@H]1CCc2ccsc2C1,0.0
38,[15*][C@@H]1CS[C@@H](C)C1,0.0
39,[15*][C@@H]1CS[C@H](C)C1,0.0
40,[15*][C@@H]1C[C@@H](C)CC(C)(C)C1,0.0
41,[15*][C@@H]1C[C@@H]2C=C[C@H]1C2,0.0
42,[15*][C@@H]1C[C@@H]2CC[C@@]1(C)C2(C)C,0.0
43,[15*][C@@H]1C[C@@H]2CC[C@H]1C2,0.0
44,[15*][C@@H]1C[C@@]12CCc1ccccc12,0.0
45,[15*][C@@H]1C[C@H](C)CC(C)(C)C1,0.0
46,[15*][C@@H]1[C@@H](C)C1(C)C,0.0
47,[15*][C@H]1C=CCC1,0.0
48,[15*][C@H]1CC1(C)C,0.0
49,[15*][C@H]1CC1(Cl)Cl,0.0
50,[15*][C@H]1CC2c3ccccc3C1c1ccccc12,0.0
51,[15*][C@H]1CC=CC[C@@H]1C,0.0
52,[15*][C@H]1CCC(C)=C(C)C1,0.0
53,[15*][C@H]1CCC12CCCCC2,0.0
54,[15*][C@H]1CCCC(C)C1,0.0
55,[15*][C@H]1CCCS[C@@H]1C,0.0
56,[15*][C@H]1CCC[C@H](C)C1,0.0
57,[15*][C@H]1CCC[C@H](C)[C@@H]1C,0.0
58,[15*][C@H]1CCC[C@H](C2CC2)C1,0.0
59,[15*][C@H]1CC[C@@H](C)C1,0.0
60,[15*][C@H]1CC[C@@H](C)CC1,0.0
61,[15*][C@H]1CC[C@@H](C)C[C@@H]1C,0.0
62,[15*][C@H]1CC[C@@H](C)C[C@H]1C,0.0
63,[15*][C@H]1CC[C@@H](C)[C@@H](C)C1,0.0
64,[15*][C@H]1CC[C@@H]2CCCC[C@@H]2C1,0.0
65,[15*][C@H]1CC[C@H](C)C1,0.0
66,[15*][C@H]1CC[C@H](C)[C@@H](C)C1,0.0
67,[15*][C@H]1CSCC(C)(C)C1,0.0
68,[15*][C@H]1C[C@@H](C)C1(C)C,0.0
69,[15*][C@H]1C[C@@H]2C=C[C@H]1C2,0.0
70,[15*][C@H]1C[C@H]1C1CCCCC1,0.0
71,[15*][C@H]1C[C@H]2CC[C@@H]1C2,0.0
72,[15*][C@H]1C[C@]12CCc1ccccc12,0.0
73,[16*]c1c(Br)cc(C)cc1Br,0.0
74,[16*]c1c(C)cc(Br)cc1C,0.0
75,[16*]c1c(C)cccc1C,0.0
76,[16*]c1c(Cl)cc(C)cc1Cl,0.0
77,[16*]c1c(Cl)ccc(C)c1Cl,0.0
78,[16*]c1c(Cl)ccc(F)c1Cl,0.0
79,[16*]c1c(F)cc(F)cc1F,0.0
80,[16*]c1c(F)ccc(F)c1F,0.0
