FID,SMILES,frequency,org_FID
0,[16*]c1ccccc1,284580,2
1,[8*]C,199271,3
2,[4*]CC,70904,8
3,[8*]CC=O,36565,12
4,[11*]S,31274,14
5,[8*]C(F)(F)F,29834,16
6,[16*]c1ccc(C)cc1,22905,19
7,[4*]CC=O,21840,20
8,[1*]C(=O)CC,20013,21
9,[6*]C(=O)O,17215,25
10,[16*]c1ccccc1F,14657,28
11,[16*]c1ccccc1Cl,13206,30
12,[16*]c1cccc(Cl)c1,12518,31
13,[16*]c1cccnc1,11150,35
14,[8*]CCC=O,9918,39
15,[7*]=Cc1ccccc1,8660,42
16,[4*]C(C)C,8232,43
17,[14*]c1cccs1,7511,45
18,[5*]N1CCOCC1,7252,47
19,[6*]C(N)=O,5940,54
20,[1*]C(=O)C=O,4208,58
21,[7*]=CC,4110,61
22,[12*]S(C)(=O)=O,3963,64
23,[16*]c1ccc([SH](=O)=O)cc1,3463,69
24,[16*]c1ccc(Cl)cc1Cl,3447,70
25,[16*]c1ccc2c3c(cccc13)CC2,3385,75
26,[16*]c1ccc(C)cc1C,3292,79
27,[5*]N1CCC2(CC1)NCCO2,3100,84
28,[1*]C(=O)CCC,3073,85
29,[14*]c1noc2c1CCCC2,3050,87
30,[4*]C(C)C=O,2818,93
31,[14*]c1ncnc2nc[nH]c12,2712,96
32,[5*]NC(N)=NC,2671,97
33,[15*]C1CCC12CCCC2,2527,101
34,[16*]c1cn[nH]c1,2515,102
35,[10*]N1C(=O)c2cccc3cccc(c23)C1=O,2503,103
36,[16*]c1cc(C)ccc1C,2391,108
37,[15*]C1CCCC1=O,2348,111
38,[16*]c1cc(C)cc(C)c1,2261,115
39,[16*]c1ccc(O)cc1,2252,116
40,[8*]CN,2249,117
41,[14*]c1nc2c(s1)CCC2,2204,119
42,[14*]c1nc2[nH]ncc2c(=O)[nH]1,2162,123
43,[13*]C1CCCCN1,2152,125
44,[16*]c1c(F)cccc1F,2116,126
45,[16*]c1ccccc1O,2076,128
46,[15*]C1CCCC2OCCC12,2057,129
47,[14*]c1ncnc2c1CCC2,2001,132
48,[14*]c1n[nH]c2c1CCCCC2,1974,133
49,[15*][C@@H]1CCCNC1,1974,134
50,[16*]c1ccsc1,1940,137
51,[16*]c1cnn2c1CCCC2,1898,141
52,[4*]CCO,1885,142
53,[16*]c1cc2c([nH]c1=O)CCCC2=O,1841,143
54,[5*]N1CCN(C)CC1,1839,144
55,[1*]C(=O)C(C)C,1825,145
56,[14*]c1nc2ccccc2[nH]1,1808,147
57,[9*]n1cc[nH]c1=O,1795,148
58,[14*]c1ccc2nncn2n1,1716,154
59,[8*]CCO,1713,155
60,[5*]N1CCc2oncc2C1,1670,159
61,[15*]C12CC3CC(CC(C3)C1)C2,1667,160
62,[15*]C1C(=O)c2ccccc2C1=O,1643,165
63,[14*]c1ncnc2sc3c(c12)CCC3,1631,167
64,[14*]c1ncccn1,1614,169
65,[14*]c1nc2c([nH]1)CNCC2,1570,177
66,[5*]N1CCc2ccccc2C1,1570,178
67,[5*]N1CCC2(CC2)C1,1542,182
68,[4*]CC=C,1521,186
69,[15*]C1CCCCCC1,1498,188
70,[14*]c1noc2c1CNCC2,1496,189
71,[15*]C1CC2(CCNC2)C1,1481,192
72,[16*]c1c(F)cccc1Cl,1449,197
73,[16*]c1cnn(C)c1,1440,199
74,[5*]N1CCC2(CCCCC2)C1,1404,202
75,[9*]n1c(=O)c(=O)[nH]c2ccccc21,1366,208
76,[8*]CC=C,1350,210
77,[15*]C1CC12CCCCC2,1346,211
78,[15*][C@H]1CCNC1,1327,214
79,[9*]n1nnc2ccccc2c1=O,1321,216
80,[14*]c1ccc(C)o1,1317,217
81,[4*]CCCC,1311,220
82,[9*]n1ncc2cncnc21,1290,221
83,[9*]n1cc2c(n1)CSC2,1288,222
84,[16*]c1c(C)cccc1C,1254,227
85,[5*]N1CCc2ncccc2C1,1235,233
86,[16*]c1c[nH]c2nc(C)ccc2c1=O,1235,234
87,[16*]c1c(C)cc(C)cc1C,1228,236
88,[14*]c1nc2cccnc2s1,1223,237
89,[15*][C@@H]1CNC[C@@H]1C1CC1,1223,238
90,[16*]c1ccc(C)c(Cl)c1,1207,240
91,[14*]c1nccn2ccnc12,1200,241
92,[14*]c1nc2cnccc2[nH]1,1195,242
93,[16*]c1cc2c([nH]c1=O)CCCC2,1183,244
94,[14*]c1nccn2nccc12,1174,245
95,[16*]c1cc(Cl)ccc1Cl,1140,250
96,[15*]C1C(C#N)=COC(N)=C1C#N,1135,253
97,[14*]c1ncn[nH]1,1130,256
98,[5*]N1CCO[C@H]2CCC[C@@H]21,1126,257
99,[14*]c1ccc2c(n1)CCC2,1111,261
100,[9*]n1c(=O)sc2ccccc21,1094,265
101,[13*]C1NCC12CCCCC2,1068,273
102,[9*]n1cc2c(n1)C(N)CCC2,1062,276
103,[14*]c1cc2[nH]ncc2cn1,1023,286
104,[10*]N1CCC(=O)NC1=O,1023,287
105,[5*]N1CCC2(CC1)CNC2,1020,288
106,[16*]c1ccc(C)c(F)c1,994,292
107,[9*]n1nc2c(cc1=O)CCC2,989,293
108,[13*]C1NC(=O)N(C)C2=C1C(=O)NC2,988,297
109,[8*]CCCC=O,987,299
110,[5*]N1CCCC2(CC2)C1,984,300
111,[16*]c1cc(Cl)ccc1C,972,305
112,[14*]c1cc(=O)cco1,943,315
113,[5*]N1CCNS1(=O)=O,930,320
114,[13*]C1CNCCO1,919,325
115,[9*]n1cnc2cnccc21,912,327
116,[10*]N1C(=O)CCNC1=O,903,330
117,[7*]=C1C(=O)c2ccccc2C1=O,894,336
118,[10*]N1C(=O)N[C@]2(CCCc3ccccc32)C1=O,887,340
119,[5*]N1CCCC2(C1)NC(=O)NC2=O,874,345
120,[14*]c1ccn(C)n1,871,348
121,[16*]c1ccc(S(C)(=O)=O)cc1,861,354
122,[5*]N1CCN(S(=O)(=O)N2CCOCC2)CC1,856,357
123,[9*]n1c(C)c[nH]c1=O,847,358
124,[7*]=Cc1ccco1,841,363
125,[5*]NC1CC(C)n2ccnc21,838,364
126,[16*]c1ccc2c3c(cccc13)C(=O)NC2=O,838,365
127,[15*][C@@H]1C[C@H]2C(=O)NCC(=O)N2C1,836,367
128,[6*]C(=O)NO,834,368
129,[16*]c1ccc2c(c1)OCCO2,830,372
130,[14*]c1ccnn1C,818,374
131,[14*]c1nonc1C,804,379
132,[14*]c1ccno1,795,381
133,[9*]n1cc2c(n1)CCC2,792,382
134,[15*][C@H]1C[C@H]2C(=O)NCC(=O)N2C1,785,384
135,[16*]c1ccc(N)cc1,763,393
136,[16*]c1ccc(Br)cc1F,756,399
137,[15*]C1CCC(C)CC1,753,403
138,[10*]N1CCCCC1=O,752,406
139,[15*]C1CCN(C)CC1,751,409
140,[12*]S(=O)(=O)c1ccc(Cl)cc1,739,411
141,[16*]c1cn[nH]c1C,739,413
142,[5*][NH3+],739,414
143,[5*][NH+]1CCNCC1,738,416
144,[13*][C@@H]1COC2(CCNCC2)N1,737,417
145,[13*][C@H]1COC2(CCNCC2)N1,737,418
146,[16*]c1ccc2c(c1)C(=O)NCCO2,736,419
147,[9*]n1cnc2sc3c(c2c1=O)CCC3,736,421
148,[14*]c1nc2c(s1)C(=O)CC(C)(C)C2,733,422
149,[16*]c1coccc1=O,733,423
150,[14*]c1nnc2c(n1)[nH]c1ccccc12,731,426
151,[13*][C@H]1NC(=O)[C@@H]2CCCN2C1=O,730,427
152,[12*]S(=O)(=O)CC,721,432
153,[13*]C1COC(N)=N1,712,435
154,[13*]C1Cc2nc[nH]c2CN1,706,438
155,[9*]n1ncc2c1CCOC2,706,439
156,[9*]n1nccc1C,703,441
157,[14*]c1cc2ccccc2c(=O)o1,693,448
158,[13*]C1COCCN1,692,449
159,[7*]=C1SC(N2CCCCC2)=NC1=O,691,450
160,[5*]N1CCn2c1nc1ccccc12,669,458
161,[14*]c1nc2c(c(=O)[nH]1)CCC2,663,462
162,[16*]c1cccc(F)c1F,661,465
163,[12*]S(=O)(=O)c1ccc2[nH]c(=O)sc2c1,660,466
164,[13*][C@H]1CCCCN1,659,469
165,[4*]CC#C,658,470
166,[7*]=CC(=O)O,655,473
167,[14*]c1nc2c(oc3ccccc32)c(=O)[nH]1,654,475
168,[14*]c1nc2c(c(=O)[nH]1)CCCC2,651,478
169,[13*][C@@H]1CCCCN1,646,479
170,[14*]c1nc2ncccc2c(=O)[nH]1,642,481
171,[4*]CC(C)O,638,483
172,[15*]C1CC2CCC1NC2,637,484
173,[16*]c1cc2c([nH]c1=O)CCCCC2,634,487
174,[16*]c1ccc(Cl)cc1F,628,489
175,[5*]N1CCNC(=O)C1,624,492
176,[16*]c1cnc2[nH]c(=O)[nH]c2c1,621,494
177,[11*]SC1=Nc2ccccc2C2=NCC(=O)N12,618,498
178,[15*]C1CCS(=O)(=O)C1,615,500
179,[9*]n1cc2c(n1)CCCC2,613,502
180,[5*]N1CC=C(c2c[nH]c3cc(F)ccc23)CC1,612,504
181,[14*]c1nc2c(s1)C(=O)CCC2,609,506
182,[9*]n1nc2ccccn2c1=O,608,507
183,[13*][C@H]1NC(=O)c2ccccc2NC1=O,608,508
184,[16*]c1cn(C)c(=O)c2[nH]ccc12,607,509
185,[14*]c1cc2c(nn1)CCC2,603,511
186,[14*]c1cc(C)[nH]n1,602,512
187,[14*]c1nc(C)nc2sc3c(c12)CCC3,588,521
188,[14*]c1cnc2cccnc2n1,582,529
