FID,SMILES,frequency,TPSA
0,[6*]C(N)=O,5940,43.09
1,[14*]c1ncnc2nc[nH]c12,2712,54.46
2,[5*]NC(N)=NC,2671,50.41
3,[14*]c1nc2[nH]ncc2c(=O)[nH]1,2162,74.43
4,[16*]c1cc2c([nH]c1=O)CCCC2=O,1841,49.93
5,[14*]c1ccc2nncn2n1,1716,43.08
6,[9*]n1c(=O)c(=O)[nH]c2ccccc21,1366,54.86
7,[9*]n1nnc2ccccc2c1=O,1321,47.78
8,[9*]n1ncc2cncnc21,1290,43.60
9,[16*]c1c[nH]c2nc(C)ccc2c1=O,1235,45.75
10,[14*]c1nc2cnccc2[nH]1,1195,41.57
11,[15*]C1C(C#N)=COC(N)=C1C#N,1135,82.83
12,[14*]c1ncn[nH]1,1130,41.57
13,[9*]n1cc2c(n1)C(N)CCC2,1062,43.84
14,[14*]c1cc2[nH]ncc2cn1,1023,41.57
15,[10*]N1CCC(=O)NC1=O,1023,49.41
16,[13*]C1NC(=O)N(C)C2=C1C(=O)NC2,988,61.44
17,[5*]N1CCNS1(=O)=O,930,49.41
18,[10*]N1C(=O)CCNC1=O,903,49.41
19,[10*]N1C(=O)N[C@]2(CCCc3ccccc32)C1=O,887,49.41
20,[5*]N1CCCC2(C1)NC(=O)NC2=O,874,61.44
21,[5*]N1CCN(S(=O)(=O)N2CCOCC2)CC1,856,53.09
22,[16*]c1ccc2c3c(cccc13)C(=O)NC2=O,838,46.17
23,[15*][C@@H]1C[C@H]2C(=O)NCC(=O)N2C1,836,49.41
24,[6*]C(=O)NO,834,49.33
25,[15*][C@H]1C[C@H]2C(=O)NCC(=O)N2C1,785,49.41
26,[14*]c1nnc2c(n1)[nH]c1ccccc12,731,54.46
27,[13*][C@H]1NC(=O)[C@@H]2CCCN2C1=O,730,49.41
28,[13*]C1COC(N)=N1,712,47.61
29,[14*]c1nc2c(c(=O)[nH]1)CCC2,663,45.75
30,[12*]S(=O)(=O)c1ccc2[nH]c(=O)sc2c1,660,67.00
31,[14*]c1nc2c(oc3ccccc32)c(=O)[nH]1,654,58.89
32,[14*]c1nc2c(c(=O)[nH]1)CCCC2,651,45.75
33,[14*]c1nc2ncccc2c(=O)[nH]1,642,58.64
34,[16*]c1cnc2[nH]c(=O)[nH]c2c1,621,61.54
35,[11*]SC1=Nc2ccccc2C2=NCC(=O)N12,618,45.03
36,[13*][C@H]1NC(=O)c2ccccc2NC1=O,608,58.20
37,[10*]N1C(=O)N(C)c2ccccc2S1(=O)=O,576,57.69
38,[1*]C(=O)/C(C#N)=C1/NC(=O)CS1,574,69.96
39,[10*]N1C(=O)CS/C1=C(/C#N)C=O,572,61.17
40,[14*]c1[nH]nc2c1CS(=O)C2,563,45.75
41,[4*]CC(N)=O,562,43.09
42,[16*]c1cnc2[nH]c(=O)[nH]c(=O)c2c1,553,78.61
43,[16*]c1c(C)nc2c(c1C)c(=O)[nH]n2C,551,50.68
44,[12*]S(=O)(=O)c1cc2c3c(c1)CCC(=O)N3CCC2,544,54.45
45,[14*]c1nccc2[nH]cnc12,537,41.57
46,[16*]c1ccc(C2=NNC(=O)CC2C)cc1,522,41.46
