FID,SMILES,frequency,TPSA
0,[16*]c1ccccc1,284580,0.00
1,[8*]C,199271,0.00
2,[4*]CC,70904,0.00
3,[8*]CC=O,36565,17.07
4,[11*]S,31274,0.00
5,[8*]C(F)(F)F,29834,0.00
6,[16*]c1ccc(C)cc1,22905,0.00
7,[4*]CC=O,21840,17.07
8,[1*]C(=O)CC,20013,17.07
9,[16*]c1ccccc1F,14657,0.00
10,[16*]c1ccccc1Cl,13206,0.00
11,[16*]c1cccc(Cl)c1,12518,0.00
12,[16*]c1cccnc1,11150,12.89
13,[8*]CCC=O,9918,17.07
14,[7*]=Cc1ccccc1,8660,0.00
15,[4*]C(C)C,8232,0.00
16,[14*]c1cccs1,7511,0.00
17,[5*]N1CCOCC1,7252,12.47
18,[7*]=CC,4110,0.00
19,[16*]c1ccc(Cl)cc1Cl,3447,0.00
20,[16*]c1ccc2c3c(cccc13)CC2,3385,0.00
21,[16*]c1ccc(C)cc1C,3292,0.00
22,[1*]C(=O)CCC,3073,17.07
23,[4*]C(C)C=O,2818,17.07
24,[15*]C1CCC12CCCC2,2527,0.00
25,[16*]c1cc(C)ccc1C,2391,0.00
26,[15*]C1CCCC1=O,2348,17.07
27,[16*]c1cc(C)cc(C)c1,2261,0.00
28,[16*]c1ccc(O)cc1,2252,20.23
29,[14*]c1nc2c(s1)CCC2,2204,12.89
30,[13*]C1CCCCN1,2152,12.03
31,[16*]c1c(F)cccc1F,2116,0.00
32,[16*]c1ccccc1O,2076,20.23
33,[15*]C1CCCC2OCCC12,2057,9.23
34,[15*][C@@H]1CCCNC1,1974,12.03
35,[16*]c1ccsc1,1940,0.00
36,[16*]c1cnn2c1CCCC2,1898,17.82
37,[4*]CCO,1885,20.23
38,[5*]N1CCN(C)CC1,1839,6.48
39,[1*]C(=O)C(C)C,1825,17.07
40,[8*]CCO,1713,20.23
41,[15*]C12CC3CC(CC(C3)C1)C2,1667,0.00
42,[5*]N1CCc2ccccc2C1,1570,3.24
43,[5*]N1CCC2(CC2)C1,1542,3.24
44,[4*]CC=C,1521,0.00
45,[15*]C1CCCCCC1,1498,0.00
46,[15*]C1CC2(CCNC2)C1,1481,12.03
47,[16*]c1c(F)cccc1Cl,1449,0.00
48,[16*]c1cnn(C)c1,1440,17.82
49,[5*]N1CCC2(CCCCC2)C1,1404,3.24
50,[8*]CC=C,1350,0.00
51,[15*]C1CC12CCCCC2,1346,0.00
52,[15*][C@H]1CCNC1,1327,12.03
53,[14*]c1ccc(C)o1,1317,13.14
54,[4*]CCCC,1311,0.00
55,[9*]n1cc2c(n1)CSC2,1288,17.82
56,[16*]c1c(C)cccc1C,1254,0.00
57,[5*]N1CCc2ncccc2C1,1235,16.13
58,[16*]c1c(C)cc(C)cc1C,1228,0.00
59,[15*][C@@H]1CNC[C@@H]1C1CC1,1223,12.03
60,[16*]c1ccc(C)c(Cl)c1,1207,0.00
61,[16*]c1cc(Cl)ccc1Cl,1140,0.00
62,[5*]N1CCO[C@H]2CCC[C@@H]21,1126,12.47
63,[14*]c1ccc2c(n1)CCC2,1111,12.89
64,[13*]C1NCC12CCCCC2,1068,12.03
65,[5*]N1CCC2(CC1)CNC2,1020,15.27
66,[16*]c1ccc(C)c(F)c1,994,0.00
67,[8*]CCCC=O,987,17.07
68,[5*]N1CCCC2(CC2)C1,984,3.24
69,[16*]c1cc(Cl)ccc1C,972,0.00
70,[14*]c1ccn(C)n1,871,17.82
71,[7*]=Cc1ccco1,841,13.14
72,[16*]c1ccc2c(c1)OCCO2,830,18.46
73,[14*]c1ccnn1C,818,17.82
74,[9*]n1cc2c(n1)CCC2,792,17.82
75,[16*]c1ccc(Br)cc1F,756,0.00
76,[15*]C1CCC(C)CC1,753,0.00
77,[10*]N1CCCCC1=O,752,20.31
78,[15*]C1CCN(C)CC1,751,3.24
79,[5*][NH+]1CCNCC1,738,16.47
80,[9*]n1nccc1C,703,17.82
81,[16*]c1cccc(F)c1F,661,0.00
82,[13*][C@H]1CCCCN1,659,12.03
83,[4*]CC#C,658,0.00
84,[13*][C@@H]1CCCCN1,646,12.03
85,[4*]CC(C)O,638,20.23
86,[15*]C1CC2CCC1NC2,637,12.03
87,[16*]c1ccc(Cl)cc1F,628,0.00
88,[9*]n1cc2c(n1)CCCC2,613,17.82
89,[5*]N1CC=C(c2c[nH]c3cc(F)ccc23)CC1,612,19.03
90,[8*][C@@H](C)C=O,579,17.07
91,[5*]N1C[C@H]2COC[C@H]2C1,574,12.47
92,[7*]=Cc1cccc(Br)c1,568,0.00
93,[11*]SC1=NCCS1,564,12.36
94,[8*][C@H](C)C=O,556,17.07
95,[7*]=Cc1ccc(F)cc1,554,0.00
96,[6*]C(=O)CC,545,17.07
97,[5*]N1CC2CCC1CC2,543,3.24
98,[16*]c1ccc(F)c(C)c1,535,0.00
99,[16*]c1ccnc2ccccc12,530,12.89
100,[7*]=C1CCCC1=O,526,17.07
101,[8*]C(C)(C)O,513,20.23
102,[16*]c1cc(C)ccc1O,513,20.23
103,[5*]N1CCSCC1,508,3.24
104,[5*]N1Cc2cccnc2C1,503,16.13
105,[14*]c1nccc2sccc12,502,12.89
106,[15*][C@H]1CCC12CCC2,500,0.00
107,[14*]c1c2c(nn1C)CCC2,491,17.82
108,[16*]c1ccc(Cl)c(C)c1,478,0.00
109,[7*]=Cc1ccc(O)cc1,473,20.23
110,[16*]c1cc(F)ccc1C,464,0.00
111,[14*]c1ncccc1Cl,455,12.89
112,[16*]c1ccnc2ccsc12,454,12.89
113,[8*][C@@H](C)O,451,20.23
114,[13*]C1OCC(C)CO1,441,18.46
115,[14*]c1[nH]c2ccccc2[n+]1C,437,19.67
116,[14*]c1cn2c(n1)CCC2,431,17.82
117,[5*]N1CC(C)CC(C)C1,413,3.24
118,[8*]CC(C)O,400,20.23
119,[5*]N1C2CCC1c1ccccc12,395,3.24
120,[14*]c1nccn1C,388,17.82
121,[7*]=C1Sc2ccccc2C1=O,380,17.07
122,[15*]C1CNCC12CCCCC2,380,12.03
123,[15*]C1CCCN2CCCCC12,380,3.24
124,[16*]c1ccc(F)c(F)c1F,378,0.00
125,[8*]CCCl,376,0.00
126,[5*]N1CC(C)OC(C)C1,374,12.47
127,[16*]c1c(C)nn(C)c1C,358,17.82
128,[15*]C1CC12CCNC2,352,12.03
129,[5*]N1CCSC1,350,3.24
130,[7*]=C(C)O,349,20.23
131,[5*]N1CCNCC1C,341,15.27
132,[4*][C@H](C)CC,335,0.00
133,[15*][C@H]1CCOC1,334,9.23
134,[14*]c1ccc(Br)cn1,334,12.89
135,[4*]C1CCCC1,330,0.00
136,[15*]C1CCC2OCCOC2C1,328,18.46
137,[8*]CCCO,312,20.23
138,[16*]c1ccc(F)c(Br)c1,312,0.00
139,[7*]=Cc1cccc(F)c1,308,0.00
140,[16*]c1ccc2c(c1)Nc1ccccc1CC2,306,12.03
141,[15*]C1CCC(F)(F)CC1,306,0.00
142,[16*]c1cncc2sccc12,305,12.89
143,[5*]N1CCN2CCC1C2,304,6.48
144,[13*]C1COC2(CCCC2)O1,301,18.46
145,[13*][C@@H]1COC2(CCCCC2)O1,299,18.46
146,[5*]N1CCCC1C,297,3.24
