FID,SMILES,frequency,org_FID
0,[5*]N,536189,0
1,[1*]C=O,289029,1
2,[6*]C=O,191577,4
3,[3*]O,152926,5
4,[4*]C,106788,6
5,[3*]OC,77247,7
6,[1*]C(C)=O,67992,9
7,[8*]CC,62389,10
8,[5*]NC,39171,11
9,[5*]N1CCCCC1,34990,13
10,[5*]N1CCNCC1,30679,15
11,[16*]c1ccc(F)cc1,26021,17
12,[16*]c1ccc(Cl)cc1,23600,18
13,[15*]C1CC1,19257,22
14,[15*]C1CCNCC1,19193,23
15,[5*]N1CCCC1,17424,24
16,[15*]C1CCCCC1,16109,26
17,[8*]C(C)C,15073,27
18,[16*]c1ccccc1C,13465,29
19,[16*]c1cccc(C)c1,12385,32
20,[16*]c1cccc(F)c1,12102,33
21,[14*]c1ccccn1,11852,34
22,[15*]C1CCCC1,11093,36
23,[8*]C(C)(C)C,10570,37
24,[4*]C(C)(C)C,10439,38
25,[5*]N(C)C,9095,40
26,[4*]CCC,8707,41
27,[8*]CCC,8156,44
28,[16*]c1ccc(Br)cc1,7352,46
29,[12*]S(=O)(=O)c1ccccc1,6898,48
30,[14*]c1ccco1,6851,49
31,[8*]CO,6389,50
32,[6*]C(C)=O,6317,51
33,[16*]c1ccncc1,6144,52
34,[15*]C1CCCNC1,6109,53
35,[7*]=CC=O,5127,55
36,[16*]c1cccc(Br)c1,4923,56
37,[10*]N1CCCC1=O,4256,57
38,[10*]N1CCNC(=O)C1=O,4185,59
39,[15*]C1CCNC1,4141,60
40,[13*]C1CCCN1,4089,62
41,[15*]C1CCC1,4046,63
42,[16*]c1ccc(F)cc1F,3693,65
43,[10*]N1C(=O)c2ccccc2S1(=O)=O,3657,66
44,[16*]c1cccc2ccccc12,3626,67
45,[16*]c1ccc(C)c(C)c1,3516,68
46,[16*]c1ccc(Cl)c(Cl)c1,3424,71
47,[11*]SC,3423,72
48,[16*]c1ccccc1Br,3418,73
49,[9*]n1cccn1,3393,74
50,[14*]c1ccn[nH]1,3381,76
51,[15*]C1CCOCC1,3338,77
52,[15*]C1CCOC2(CCCC2)C1,3324,78
53,[8*]CC(C)C,3278,80
54,[1*]C(=O)O,3235,81
55,[4*]CC(C)C,3181,82
56,[5*]N1CCc2nc[nH]c2C1,3171,83
57,[5*]N1CCOC12CCNCC2,3070,86
58,[14*]c1nnc2n1CCC2,3000,88
59,[15*]C1CCC12CCC2,2941,89
60,[14*]c1nc2ccsc2c(=O)[nH]1,2916,90
61,[5*]NC1=NCCS1,2835,91
62,[5*]N1CCC1,2822,92
