FID,SMILES,frequency
0,[5*]N,536189
1,[1*]C=O,289029
2,[16*]c1ccccc1,284580
3,[8*]C,199271
4,[6*]C=O,191577
5,[3*]O,152926
6,[4*]C,106788
7,[3*]OC,77247
8,[4*]CC,70904
9,[1*]C(C)=O,67992
10,[8*]CC,62389
11,[5*]NC,39171
12,[8*]CC=O,36565
13,[5*]N1CCCCC1,34990
14,[11*]S,31274
15,[5*]N1CCNCC1,30679
16,[8*]C(F)(F)F,29834
17,[16*]c1ccc(F)cc1,26021
18,[16*]c1ccc(Cl)cc1,23600
19,[16*]c1ccc(C)cc1,22905
20,[4*]CC=O,21840
21,[1*]C(=O)CC,20013
22,[15*]C1CC1,19257
23,[15*]C1CCNCC1,19193
24,[5*]N1CCCC1,17424
25,[6*]C(=O)O,17215
26,[15*]C1CCCCC1,16109
27,[8*]C(C)C,15073
28,[16*]c1ccccc1F,14657
29,[16*]c1ccccc1C,13465
30,[16*]c1ccccc1Cl,13206
31,[16*]c1cccc(Cl)c1,12518
32,[16*]c1cccc(C)c1,12385
33,[16*]c1cccc(F)c1,12102
34,[14*]c1ccccn1,11852
35,[16*]c1cccnc1,11150
36,[15*]C1CCCC1,11093
37,[8*]C(C)(C)C,10570
38,[4*]C(C)(C)C,10439
39,[8*]CCC=O,9918
40,[5*]N(C)C,9095
41,[4*]CCC,8707
42,[7*]=Cc1ccccc1,8660
43,[4*]C(C)C,8232
44,[8*]CCC,8156
45,[14*]c1cccs1,7511
46,[16*]c1ccc(Br)cc1,7352
47,[5*]N1CCOCC1,7252
48,[12*]S(=O)(=O)c1ccccc1,6898
49,[14*]c1ccco1,6851
50,[8*]CO,6389
51,[6*]C(C)=O,6317
52,[16*]c1ccncc1,6144
53,[15*]C1CCCNC1,6109
54,[6*]C(N)=O,5940
55,[7*]=CC=O,5127
56,[16*]c1cccc(Br)c1,4923
57,[10*]N1CCCC1=O,4256
58,[1*]C(=O)C=O,4208
59,[10*]N1CCNC(=O)C1=O,4185
60,[15*]C1CCNC1,4141
61,[7*]=CC,4110
62,[13*]C1CCCN1,4089
63,[15*]C1CCC1,4046
64,[12*]S(C)(=O)=O,3963
65,[16*]c1ccc(F)cc1F,3693
66,[10*]N1C(=O)c2ccccc2S1(=O)=O,3657
67,[16*]c1cccc2ccccc12,3626
68,[16*]c1ccc(C)c(C)c1,3516
69,[16*]c1ccc([SH](=O)=O)cc1,3463
70,[16*]c1ccc(Cl)cc1Cl,3447
71,[16*]c1ccc(Cl)c(Cl)c1,3424
72,[11*]SC,3423
73,[16*]c1ccccc1Br,3418
74,[9*]n1cccn1,3393
75,[16*]c1ccc2c3c(cccc13)CC2,3385
76,[14*]c1ccn[nH]1,3381
77,[15*]C1CCOCC1,3338
78,[15*]C1CCOC2(CCCC2)C1,3324
79,[16*]c1ccc(C)cc1C,3292
80,[8*]CC(C)C,3278
81,[1*]C(=O)O,3235
82,[4*]CC(C)C,3181
83,[5*]N1CCc2nc[nH]c2C1,3171
84,[5*]N1CCC2(CC1)NCCO2,3100
85,[1*]C(=O)CCC,3073
86,[5*]N1CCOC12CCNCC2,3070
87,[14*]c1noc2c1CCCC2,3050
88,[14*]c1nnc2n1CCC2,3000
